,Epochs,Loss
0,0,3747.867790222168
1,1,2344.6887741088867
2,2,1268.4082622528076
3,3,759.6378269195557
4,4,571.0647373199463
5,5,464.1162943840027
6,6,349.04363203048706
7,7,289.96332454681396
8,8,220.30495977401733
9,9,222.4399857521057
10,10,212.9363374710083
11,11,152.7495231628418
12,12,162.95260953903198
13,13,146.9597306251526
14,14,116.98453378677368
15,15,116.68326997756958
16,16,121.37947416305542
17,17,97.28061103820801
18,18,108.56369876861572
19,19,98.78653049468994
20,20,89.91400098800659
21,21,99.42409896850586
22,22,80.57897663116455
23,23,91.57318782806396
24,24,84.60189294815063
25,25,95.05393314361572
26,26,88.7968955039978
27,27,86.67875146865845
28,28,64.2946891784668
29,29,94.8681058883667
30,30,70.08608961105347
31,31,72.3970136642456
32,32,71.73209047317505
33,33,69.53446626663208
34,34,63.203819274902344
35,35,60.56974983215332
36,36,67.9027533531189
37,37,61.04155874252319
38,38,65.98251342773438
39,39,59.16579723358154
40,40,64.38057613372803
41,41,56.270286560058594
42,42,37.42031192779541
43,43,42.53875732421875
44,44,47.35159969329834
45,45,39.456241607666016
46,46,55.15556621551514
47,47,35.72013854980469
48,48,41.64663219451904
49,49,47.64783477783203
50,50,35.48718309402466
51,51,50.10422611236572
52,52,57.48936319351196
53,53,46.920344829559326
54,54,47.77946329116821
55,55,48.59230184555054
56,56,36.77581739425659
57,57,47.98967695236206
58,58,46.79964876174927
59,59,46.49165105819702
60,60,44.68306303024292
61,61,35.51400566101074
62,62,43.13039779663086
63,63,39.0248908996582
64,64,42.09118032455444
65,65,37.5880651473999
66,66,29.81182098388672
67,67,31.853665828704834
68,68,40.14725685119629
69,69,37.864623069763184
70,70,41.07834243774414
71,71,39.793779373168945
72,72,38.14177227020264
73,73,32.192116260528564
74,74,38.48049259185791
75,75,43.89024782180786
76,76,36.41674757003784
77,77,32.96250867843628
78,78,36.05195713043213
79,79,34.71348714828491
80,80,42.58886909484863
81,81,42.222957134246826
82,82,32.51275682449341
83,83,40.532668590545654
84,84,42.98639249801636
85,85,49.88499307632446
86,86,34.98763084411621
87,87,32.07818365097046
88,88,30.318114280700684
89,89,35.78221845626831
90,90,38.567336559295654
91,91,36.24238920211792
92,92,32.017231464385986
93,93,33.092698097229004
94,94,31.16194248199463
95,95,40.470073223114014
96,96,42.13311052322388
97,97,37.231160163879395
98,98,27.195438385009766
99,99,30.167020320892334
