,Epochs,Loss
0,0,112.88823699951172
1,1,71.28994750976562
2,2,38.91637420654297
3,3,22.92034912109375
4,4,17.50261688232422
5,5,8.703008651733398
6,6,2.6825294494628906
7,7,5.408883571624756
8,8,3.008427143096924
9,9,3.7525744438171387
10,10,0.37305355072021484
11,11,6.634600639343262
12,12,2.6024837493896484
13,13,1.297314167022705
14,14,3.538665294647217
15,15,2.5664329528808594
16,16,1.796581745147705
17,17,1.0355911254882812
18,18,0.42427921295166016
19,19,5.209000587463379
20,20,1.6776208877563477
21,21,1.3534832000732422
22,22,2.0983242988586426
23,23,0.4304637908935547
24,24,2.507981777191162
25,25,1.2129883766174316
26,26,0.23195362091064453
27,27,0.1780710220336914
28,28,0.6560196876525879
29,29,0.0006666183471679688
30,30,0.6787872314453125
31,31,1.764678955078125
32,32,0.9861917495727539
33,33,1.3176608085632324
34,34,0.993311882019043
35,35,1.3800630569458008
36,36,0.027374744415283203
37,37,0.27446746826171875
38,38,0.2826676368713379
39,39,5.484182357788086
40,40,0.22684049606323242
41,41,0.597785472869873
42,42,0.24028253555297852
43,43,0.23566818237304688
44,44,0.707097053527832
45,45,0.0
46,46,0.34139347076416016
47,47,1.4465336799621582
48,48,0.3424558639526367
49,49,0.5497751235961914
50,50,0.7291102409362793
51,51,0.0
52,52,0.5859689712524414
53,53,1.6430516242980957
54,54,0.2792830467224121
55,55,1.9128942489624023
56,56,0.8419756889343262
57,57,0.0
58,58,0.0
59,59,0.0
60,60,1.4449682235717773
61,61,0.5603475570678711
62,62,0.034653663635253906
63,63,0.1239776611328125
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.07494306564331055
71,71,0.0
72,72,2.461240768432617
73,73,0.0
74,74,0.03829765319824219
75,75,0.0
76,76,0.0
77,77,0.0002002716064453125
78,78,0.24704456329345703
79,79,0.9207320213317871
80,80,0.7787652015686035
81,81,0.0
82,82,0.0
83,83,1.079141616821289
84,84,0.0
85,85,1.5054311752319336
86,86,0.0
87,87,0.08634519577026367
88,88,0.6791949272155762
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.08064413070678711
94,94,0.0
95,95,0.0
96,96,0.0
97,97,1.5368618965148926
98,98,0.23993825912475586
99,99,0.005179405212402344
