,Epochs,Loss
0,0,127.38130187988281
1,1,65.4986572265625
2,2,33.521305084228516
3,3,17.985519409179688
4,4,7.521754741668701
5,5,9.087678909301758
6,6,8.519332885742188
7,7,3.382084369659424
8,8,1.519392967224121
9,9,1.0407896041870117
10,10,0.6498966217041016
11,11,2.8274197578430176
12,12,4.423381328582764
13,13,2.0501327514648438
14,14,1.2279586791992188
15,15,3.72590970993042
16,16,2.402559280395508
17,17,1.613138198852539
18,18,6.900866508483887
19,19,0.535834789276123
20,20,0.28609752655029297
21,21,2.030951976776123
22,22,0.6966896057128906
23,23,0.7064895629882812
24,24,1.5653176307678223
25,25,0.9534664154052734
26,26,1.5083274841308594
27,27,2.0000948905944824
28,28,2.4821219444274902
29,29,2.857450008392334
30,30,0.23143339157104492
31,31,0.08178901672363281
32,32,0.33403491973876953
33,33,0.0
34,34,0.09111213684082031
35,35,1.2085990905761719
36,36,2.2233214378356934
37,37,1.6373376846313477
38,38,1.257829189300537
39,39,0.29848766326904297
40,40,0.0
41,41,0.0
42,42,2.784198760986328
43,43,0.6690578460693359
44,44,1.084700584411621
45,45,0.0
46,46,0.28804969787597656
47,47,0.08886146545410156
48,48,0.2633233070373535
49,49,0.09557437896728516
50,50,2.0219922065734863
51,51,0.7612347602844238
52,52,0.0
53,53,0.0
54,54,0.7156758308410645
55,55,0.7203054428100586
56,56,0.0
57,57,2.423989772796631
58,58,0.09180736541748047
59,59,2.039090156555176
60,60,0.0
61,61,0.26429080963134766
62,62,0.1750650405883789
63,63,1.552490234375
64,64,0.05071830749511719
65,65,0.0
66,66,0.31946849822998047
67,67,0.0
68,68,0.0
69,69,0.29528284072875977
70,70,0.8180756568908691
71,71,2.221477508544922
72,72,0.09408760070800781
73,73,2.024660110473633
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.2551593780517578
80,80,0.7659468650817871
81,81,0.2101612091064453
82,82,1.6862468719482422
83,83,0.0
84,84,0.7726006507873535
85,85,0.0
86,86,0.0
87,87,0.0
88,88,1.4576120376586914
89,89,0.0
90,90,0.0
91,91,0.17020320892333984
92,92,0.17858219146728516
93,93,0.0
94,94,1.8076081275939941
95,95,0.8331804275512695
96,96,0.4600844383239746
97,97,0.0
98,98,0.0
99,99,1.7963480949401855
